trial_global_id,condition,stimulus_id,stimulus_text,n_siblings,n_condition,corr_loo,rms_resid,max_abs_z,p99_abs_z,frac_abs_gt3,frac_abs_gt5,spatial_std,frac_out_sib_clim,rz_corr_loo,rz_rms_resid,rz_max_abs_z,rz_p99_abs_z,rz_frac_abs_gt3,rz_frac_abs_gt5,rz_spatial_std,rz_frac_out_sib_clim,rank_corr_low,rank_rms_high,pct_corr_low,pct_rms_high,flag,why
3003,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.5597490989862757,1.4202593237223442,8.306509017944336,4.567317237854005,0.0801,0.0052,1.1664397186214588,0.0049,-1.5371038483264872,0.32946025866193646,0.7248910155471705,0.6823910079357921,1.1124413567756342,2.8328611898016995,0.0625494654153292,2.6305139619587212,27.0,8.0,0.9642857142857143,0.2857142857142857,,frac>|5| rz=2.8; out_clim=0.005 rz=2.6
3007,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.624197435417201,0.6855811956309171,6.599488735198975,3.1673628330230743,0.0121,0.0011,0.8022238642573319,0.0011,-1.8163010067153624,-0.8633704488523349,0.03378813892668339,-0.3798369541191163,-0.4801062697663264,0.06744907594765955,-0.6474895927527722,0.06744907594765955,28.0,23.0,1.0,0.8214285714285714,,
3021,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.7648425439398272,2.8913839464645754,8.233675003051758,5.3617892599105845,0.283,0.0208,2.4320111402296893,0.0646,2.052073757772405,3.8264605721293923,1.4279514594325802,2.004004210683202,18.528056771682834,55.44314042897612,3.640241612685145,108.25576689599355,1.0,2.0,0.03333333333333333,0.06666666666666667,outlier,corr bottom 3% (rank 1/30); rms rz=3.8; rms rank 2; frac>|5| rz=55.4; out_clim=0.065 rz=108.3
3032,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.7079108274433846,1.714404357971587,5.738582134246826,3.5859768700599677,0.0322,0.0008,1.3283979526673355,0.0006,1.9533010003445654,1.3903943422844456,0.00979090069270819,0.48088498544719294,1.4409575316090897,1.4838796708485096,0.9941410388910762,0.3372453797382975,2.0,7.0,0.06666666666666667,0.23333333333333334,,corr bottom 7% (rank 2/30)
3040,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.6722892304918717,2.156211141368973,10.156210899353027,5.517417354583743,0.1157,0.0184,1.7949504089033075,0.0199,1.8914998889183199,2.3048287094333744,2.5206821609563104,2.1374868602796933,7.129844240325827,48.96802913800081,2.1127800113718993,32.88142452448402,3.0,5.0,0.1,0.16666666666666666,outlier,corr bottom 10% (rank 3/30); rms rz=2.3; max|z| rz=2.5; frac>|5| rz=49.0; out_clim=0.020 rz=32.9
3044,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.6383372769735356,1.5894811356883891,5.4577131271362305,3.3477860283851637,0.0238,0.0003,1.1886434364968297,0.0012,1.8325954982650459,1.1318331521815934,-0.1498493888679191,0.2765880381437906,0.8686623417501607,0.13489815189531895,0.6590557847488099,1.3489815189531902,4.0,8.0,0.13333333333333333,0.26666666666666666,,corr bottom 13% (rank 4/30)
3039,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.4981617370189953,1.2992364616684788,5.118462562561035,3.0985703158378612,0.0126,0.0003,0.9914925386789131,0.0004,1.5894002205306847,0.5310960997424969,-0.3426725804316114,0.06283502843333443,0.10560208860492143,0.13489815189531895,0.18635293041604561,0.0,5.0,9.0,0.16666666666666666,0.3,,
3036,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.4558288913671561,1.2164207270128846,5.745669841766357,2.834987318515779,0.0078,0.0002,0.9262015876553926,0.0002,1.5159555371078592,0.35968733746089454,0.013819410966515181,-0.16324084138327774,-0.22142373417160963,-0.13489815189531904,0.029806755620416285,-0.3372453797382976,6.0,10.0,0.2,0.3333333333333333,,
3025,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.3772249520215117,1.0777703153514056,6.299131393432617,2.9520509624481206,0.0095,0.0005,0.7999116926774995,0.0004,1.3795829084282885,0.0727141487116308,0.3283958153822754,-0.06283502843333481,-0.10560208860492155,0.6744907594765952,-0.2729947760498591,0.0,7.0,14.0,0.23333333333333334,0.4666666666666667,,
3048,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.34077795838161545,0.9960193691173944,5.201907157897949,2.2298933959007265,0.0029,0.0001,0.6862657910820976,0.0001,1.3163497884152564,-0.09649075622095024,-0.2952443522376442,-0.6822315815514917,-0.5552625949226517,-0.40469445568595713,-0.5454801801842191,-0.5058680696074465,8.0,17.0,0.26666666666666666,0.5666666666666667,,
3023,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.25612998078230376,0.876200258877345,3.4363410472869873,2.000603995323182,0.0007,0.0,0.6260216643545824,0.0,1.1694911536734696,-0.344487655232247,-1.2987565874818139,-0.8788937380712334,-0.7051494303618951,-0.6744907594765952,-0.6899257342043806,-0.6744907594765952,9.0,20.0,0.3,0.6666666666666666,,
3045,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.10708465041221035,1.1124619943112797,8.051690101623535,2.7889803552627566,0.0068,0.0004,0.7198246458784899,0.0012,0.9109073770308429,0.14451762635645599,1.3245149049386056,-0.20270114170886552,-0.28955411391672026,0.40469445568595713,-0.465017110393665,1.3489815189531902,10.0,11.0,0.3333333333333333,0.36666666666666664,,
3030,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,-0.03239434531135193,0.8851889898563458,4.066341400146484,2.1655523157119756,0.0006,0.0,0.5985050731521577,0.0,0.7813246445586997,-0.32588313209421865,-0.9406770692450956,-0.737417104959278,-0.7119624683364062,-0.6744907594765952,-0.7559014479691084,-0.6744907594765952,11.0,19.0,0.36666666666666664,0.6333333333333333,,
3026,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,0.024068524546271567,0.8331239661979978,4.633450508117676,2.415171813964844,0.0022,0.0,0.6178168158188848,0.0,0.6833653049966262,-0.43364527778493406,-0.618343668560052,-0.5233177671262466,-0.6029538607442291,-0.6744907594765952,-0.7095982559383384,-0.6744907594765952,12.0,21.0,0.4,0.7,,
3029,condAN2,black_point_0.05,cond2: black point 0.05 diameter,29,30,0.20186865174143478,1.0877432946409633,6.237611770629883,3.47763421535492,0.0209,0.0005,0.848265113652504,0.0002,0.37489386034618694,0.09335583043301218,0.2934293002123694,0.3879591892102118,0.6710842404893396,0.6744907594765952,-0.1570592141801469,-0.3372453797382976,13.0,13.0,0.43333333333333335,0.43333333333333335,,
